Agency,"Sorted Race","Driver Area",Race,Year,"Agency Type","Full Agency","Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",StopDisparityDiffZScore,MalesDiffZScore,ArrestDiffZScore,TicketDiffZScore,WarningDiffZScore,"Agencies Included",RaceBarStyle,ToolTip,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","White Stops w/ Search (Any) Count","White Stops w/ Search (Any) + Contraband Count","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Count","White Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (Any) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct","White Stops w/ Search (PC/RS) Pct","White Stops w/ Search (Any) + Contraband Pct","White Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","White Stops w/ Search (Any) + Contraband + Arrest Pct"
"All Police","2 - Black","All Vermont"," Black",2011,police,"All Police",TRUE,59,1684,1,17,41,44,1579,902,NULL,0.035,0.000,1,0.0169,0.2881,0.6949,0.0095,0.3433,0.6529,0.7458,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,3,1,0,0,22,18,14,5,0.051,0.333,0.000,0.000,0.014,0.818,0.636,0.227
"All Police","3 - Asian","All Vermont"," Asian",2011,police,"All Police",TRUE,41,1684,1,6,34,24,1579,902,NULL,0.024,0.000,1,0.0244,0.1463,0.8293,0.0095,0.3433,0.6529,0.5854,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,0,0,0,0,22,18,14,5,0.000,0.000,0.000,0.000,0.014,0.818,0.636,0.227
"All Police","5 - Hispanic","All Vermont"," Hispanic",2011,police,"All Police",FALSE,4,1684,0,0,0,2,1579,902,NULL,0.002,0.000,1,,,,0.0095,0.3433,0.6529,,0.5712,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,0,0,0,0,22,18,14,5,0.000,0.000,0.000,0.000,0.014,0.818,0.636,0.227
"All Police","1 - White","All Vermont"," White",2012,police,"All Police",TRUE,9045,10005,110,3337,5782,4932,9045,4932,NULL,0.904,0.000,1,0.0122,0.3689,0.6392,0.0122,0.3689,0.6392,0.5453,0.5453,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,96,71,38,24,96,71,38,24,0.011,0.740,0.396,0.250,0.011,0.740,0.396,0.250
"All Police","2 - Black","All Vermont"," Black",2012,police,"All Police",TRUE,592,10005,10,201,398,377,9045,4932,NULL,0.059,0.000,1,0.0169,0.3395,0.6723,0.0122,0.3689,0.6392,0.6368,0.5453,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,23,12,8,1,96,71,38,24,0.039,0.522,0.348,0.043,0.011,0.740,0.396,0.250
"All Police","3 - Asian","All Vermont"," Asian",2012,police,"All Police",TRUE,312,10005,3,77,239,194,9045,4932,NULL,0.031,0.000,1,0.0096,0.2468,0.7660,0.0122,0.3689,0.6392,0.6218,0.5453,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,0,0,0,0,96,71,38,24,0.000,0.000,0.000,0.000,0.011,0.740,0.396,0.250
"All Police","5 - Hispanic","All Vermont"," Hispanic",2012,police,"All Police",TRUE,51,10005,1,17,34,30,9045,4932,NULL,0.005,0.000,1,0.0196,0.3333,0.6667,0.0122,0.3689,0.6392,0.5882,0.5453,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,1,1,1,0,96,71,38,24,0.020,1.000,1.000,0.000,0.011,0.740,0.396,0.250
"All Police","1 - White","All Vermont"," White",2013,police,"All Police",TRUE,15307,16709,307,5362,9636,5685,15307,5685,NULL,0.916,0.000,1,0.0201,0.3503,0.6295,0.0201,0.3503,0.6295,0.3714,0.3714,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,256,202,134,50,256,202,134,50,0.017,0.789,0.523,0.195,0.017,0.789,0.523,0.195
"All Police","2 - Black","All Vermont"," Black",2013,police,"All Police",TRUE,821,16709,25,289,510,367,15307,5685,NULL,0.049,0.000,1,0.0305,0.3520,0.6212,0.0201,0.3503,0.6295,0.4470,0.3714,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,42,20,15,4,256,202,134,50,0.051,0.476,0.357,0.095,0.017,0.789,0.523,0.195
"All Police","3 - Asian","All Vermont"," Asian",2013,police,"All Police",TRUE,449,16709,3,113,335,175,15307,5685,NULL,0.027,0.000,1,0.0067,0.2517,0.7461,0.0201,0.3503,0.6295,0.3898,0.3714,0.0,0.0,0.0,0.0,0.0,"All Police",#9F81F7,Unused,NULL,3,2,2,0,256,202,134,50,0.007,0.667,0.667,0.000,0.017,0.789,0.523,0.195
"All Police","5 - Hispanic","All Vermont"," Hispanic",2013,police,"All Police",TRUE,124,16709,2,42,82,52,15307,5685,NULL,0.007,0.000,1,0.0161,0.3387,0.6613,0.0201,0.3503,0.6295,0.4194,0.3714,0.0,0.0,0.0,0.0,0.0,"All Police",#F7D358,Unused,NULL,2,2,2,0,256,202,134,50,0.016,1.000,1.000,0.000,0.017,0.789,0.523,0.195
"All Police","1 - White","All Vermont"," White",2014,police,"All Police",TRUE,27121,29191,322,8750,17934,12355,27121,12355,NULL,0.929,0.000,1,0.0119,0.3226,0.6613,0.0119,0.3226,0.6613,0.4556,0.4556,0.0,0.0,0.0,0.0,0.0,"All Police",#58ACFA,Unused,NULL,285,204,152,24,285,204,152,24,0.011,0.716,0.533,0.084,0.011,0.716,0.533,0.084
"All Police","2 - Black","All Vermont"," Black",2014,police,"All Police",TRUE,1185,29191,20,380,776,610,27121,12355,NULL,0.041,0.000,1,0.0169,0.3207,0.6549,0.0119,0.3226,0.6613,0.5148,0.4556,0.0,0.0,0.0,0.0,0.0,"All Police",#58FAAC,Unused,NULL,35,19,12,4,285,204,152,24,0.030,0.543,0.343,0.114,0.011,0.716,0.533,0.084
