Agency,Driver Area,Race,Year,Agency Type,type,statistic
Barre City Police,Barre City, Black,2015,police,Traffic Stop Count,6
Barre City Police,Barre City, Hispanic,2015,police,Traffic Stop Count,1
Barre City Police,Barre City, White,2017,police,Traffic Stop Count,737
Barre City Police,Barre City, Black,2017,police,Traffic Stop Count,20
Barre City Police,Barre City, Hispanic,2017,police,Traffic Stop Count,5
Barre City Police,Barre City, White,2018,police,Traffic Stop Count,1397
Barre City Police,Barre City, Black,2018,police,Traffic Stop Count,22
Barre City Police,Barre City, Asian,2018,police,Traffic Stop Count,9
Barre City Police,Barre City, Hispanic,2018,police,Traffic Stop Count,9
Barre Town Police,Barre Town, White,2014,police,Traffic Stop Count,372
Barre Town Police,Barre Town, Black,2014,police,Traffic Stop Count,4
Barre Town Police,Barre Town, Hispanic,2014,police,Traffic Stop Count,2
Barre Town Police,Barre Town, White,2015,police,Traffic Stop Count,1738
Barre Town Police,Barre Town, Black,2015,police,Traffic Stop Count,16
Barre Town Police,Barre Town, Asian,2015,police,Traffic Stop Count,9
Barre Town Police,Barre Town, Hispanic,2015,police,Traffic Stop Count,11
Barre Town Police,Barre Town, White,2016,police,Traffic Stop Count,545
Barre Town Police,Barre Town, Black,2016,police,Traffic Stop Count,8
Barre Town Police,Barre Town, Hispanic,2016,police,Traffic Stop Count,1
Barre Town Police,Barre Town, White,2017,police,Traffic Stop Count,2137
Barre Town Police,Barre Town, Black,2017,police,Traffic Stop Count,12
Barre Town Police,Barre Town, Asian,2017,police,Traffic Stop Count,7
Barre Town Police,Barre Town, Hispanic,2017,police,Traffic Stop Count,3
Barre Town Police,Barre Town, White,2018,police,Traffic Stop Count,2296
Barre Town Police,Barre Town, Black,2018,police,Traffic Stop Count,22
Barre Town Police,Barre Town, Asian,2018,police,Traffic Stop Count,2
Barre Town Police,Barre Town, Hispanic,2018,police,Traffic Stop Count,4
Bellows Falls Police,Bellows Falls, White,2016,police,Traffic Stop Count,679
Bellows Falls Police,Bellows Falls, Black,2016,police,Traffic Stop Count,23
Bellows Falls Police,Bellows Falls, Asian,2016,police,Traffic Stop Count,3
