Agency,Driver Area,Race,Year,Agency Type,type,statistic
Weathersfield Police,Weathersfield, Hispanic,2017,police,Arrest Counts,0
Weathersfield Police,Weathersfield, White,2018,police,Arrest Counts,0
Weathersfield Police,Weathersfield, Black,2018,police,Arrest Counts,0
Weathersfield Police,Weathersfield, Asian,2018,police,Arrest Counts,0
Weathersfield Police,Weathersfield, Hispanic,2018,police,Arrest Counts,0
Williston Police,Williston, White,2012,police,Arrest Counts,8
Williston Police,Williston, Black,2012,police,Arrest Counts,0
Williston Police,Williston, Asian,2012,police,Arrest Counts,0
Williston Police,Williston, Hispanic,2012,police,Arrest Counts,0
Williston Police,Williston, White,2013,police,Arrest Counts,126
Williston Police,Williston, Black,2013,police,Arrest Counts,9
Williston Police,Williston, Asian,2013,police,Arrest Counts,1
Williston Police,Williston, Hispanic,2013,police,Arrest Counts,1
Williston Police,Williston, White,2014,police,Arrest Counts,92
Williston Police,Williston, Black,2014,police,Arrest Counts,6
Williston Police,Williston, Asian,2014,police,Arrest Counts,0
Williston Police,Williston, Hispanic,2014,police,Arrest Counts,1
Williston Police,Williston, White,2015,police,Arrest Counts,93
Williston Police,Williston, Black,2015,police,Arrest Counts,8
Williston Police,Williston, Asian,2015,police,Arrest Counts,2
Williston Police,Williston, Hispanic,2015,police,Arrest Counts,1
Williston Police,Williston, White,2016,police,Arrest Counts,45
Williston Police,Williston, Black,2016,police,Arrest Counts,5
Williston Police,Williston, Asian,2016,police,Arrest Counts,1
Williston Police,Williston, Hispanic,2016,police,Arrest Counts,0
Williston Police,Williston, White,2017,police,Arrest Counts,71
Williston Police,Williston, Black,2017,police,Arrest Counts,8
Williston Police,Williston, Asian,2017,police,Arrest Counts,1
Williston Police,Williston, Hispanic,2017,police,Arrest Counts,1
Williston Police,Williston, White,2018,police,Arrest Counts,111
Williston Police,Williston, Black,2018,police,Arrest Counts,5
Williston Police,Williston, Asian,2018,police,Arrest Counts,3
Williston Police,Williston, Hispanic,2018,police,Arrest Counts,3
Williston Police,Williston, White,2019,police,Arrest Counts,129
Williston Police,Williston, Black,2019,police,Arrest Counts,12
Williston Police,Williston, Asian,2019,police,Arrest Counts,4
Williston Police,Williston, Hispanic,2019,police,Arrest Counts,4
Wilmington Police,Wilmington, White,2015,police,Arrest Counts,0
Wilmington Police,Wilmington, Black,2015,police,Arrest Counts,0
Wilmington Police,Wilmington, Asian,2015,police,Arrest Counts,0
Wilmington Police,Wilmington, Hispanic,2015,police,Arrest Counts,0
Wilmington Police,Wilmington, White,2016,police,Arrest Counts,0
Wilmington Police,Wilmington, Black,2016,police,Arrest Counts,0
Wilmington Police,Wilmington, Asian,2016,police,Arrest Counts,0
Wilmington Police,Wilmington, Hispanic,2016,police,Arrest Counts,0
Wilmington Police,Wilmington, White,2017,police,Arrest Counts,4
Wilmington Police,Wilmington, Black,2017,police,Arrest Counts,0
Wilmington Police,Wilmington, Asian,2017,police,Arrest Counts,0
Wilmington Police,Wilmington, Hispanic,2017,police,Arrest Counts,1
Wilmington Police,Wilmington, White,2018,police,Arrest Counts,1
Wilmington Police,Wilmington, Black,2018,police,Arrest Counts,0
Wilmington Police,Wilmington, Asian,2018,police,Arrest Counts,0
Wilmington Police,Wilmington, Hispanic,2018,police,Arrest Counts,0
Windham County Sheriff,Windham County, White,2017,sheriff,Arrest Counts,18
Windham County Sheriff,Windham County, Black,2017,sheriff,Arrest Counts,0
Windham County Sheriff,Windham County, Asian,2017,sheriff,Arrest Counts,0
Windham County Sheriff,Windham County, Hispanic,2017,sheriff,Arrest Counts,0
Windham County Sheriff,Windham County, White,2018,sheriff,Arrest Counts,57
Windham County Sheriff,Windham County, Black,2018,sheriff,Arrest Counts,0
Windham County Sheriff,Windham County, Asian,2018,sheriff,Arrest Counts,0
Windham County Sheriff,Windham County, Hispanic,2018,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, White,2017,sheriff,Arrest Counts,3
Windsor County Sheriff,Windsor County, Black,2017,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, Asian,2017,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, Hispanic,2017,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, White,2018,sheriff,Arrest Counts,9
Windsor County Sheriff,Windsor County, Black,2018,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, Asian,2018,sheriff,Arrest Counts,0
Windsor County Sheriff,Windsor County, Hispanic,2018,sheriff,Arrest Counts,0
Windsor Police,Windsor, White,2015,police,Arrest Counts,1
Windsor Police,Windsor, Black,2015,police,Arrest Counts,0
Windsor Police,Windsor, Hispanic,2015,police,Arrest Counts,0
Windsor Police,Windsor, White,2016,police,Arrest Counts,1
Windsor Police,Windsor, Black,2016,police,Arrest Counts,0
Windsor Police,Windsor, Asian,2016,police,Arrest Counts,0
Windsor Police,Windsor, Hispanic,2016,police,Arrest Counts,0
Windsor Police,Windsor, White,2018,police,Arrest Counts,2
Windsor Police,Windsor, Black,2018,police,Arrest Counts,0
Windsor Police,Windsor, Asian,2018,police,Arrest Counts,0
Windsor Police,Windsor, Hispanic,2018,police,Arrest Counts,0
Winhall Police,Winhall, White,2017,police,Arrest Counts,4
Winhall Police,Winhall, Black,2017,police,Arrest Counts,0
Winhall Police,Winhall, Asian,2017,police,Arrest Counts,0
Winhall Police,Winhall, Hispanic,2017,police,Arrest Counts,0
Winhall Police,Winhall, White,2018,police,Arrest Counts,6
Winhall Police,Winhall, Black,2018,police,Arrest Counts,0
Winhall Police,Winhall, Asian,2018,police,Arrest Counts,0
Winooski Police,Winooski, White,2012,police,Arrest Counts,30
Winooski Police,Winooski, Black,2012,police,Arrest Counts,1
Winooski Police,Winooski, Asian,2012,police,Arrest Counts,1
Winooski Police,Winooski, Hispanic,2012,police,Arrest Counts,0
Winooski Police,Winooski, White,2013,police,Arrest Counts,40
Winooski Police,Winooski, Black,2013,police,Arrest Counts,3
Winooski Police,Winooski, Asian,2013,police,Arrest Counts,2
Winooski Police,Winooski, Hispanic,2013,police,Arrest Counts,0
Winooski Police,Winooski, White,2014,police,Arrest Counts,33
Winooski Police,Winooski, Black,2014,police,Arrest Counts,3
Winooski Police,Winooski, Asian,2014,police,Arrest Counts,1
Winooski Police,Winooski, Hispanic,2014,police,Arrest Counts,0
Winooski Police,Winooski, White,2015,police,Arrest Counts,23
Winooski Police,Winooski, Black,2015,police,Arrest Counts,6
Winooski Police,Winooski, Asian,2015,police,Arrest Counts,2
Winooski Police,Winooski, Hispanic,2015,police,Arrest Counts,0
Winooski Police,Winooski, White,2016,police,Arrest Counts,12
Winooski Police,Winooski, Black,2016,police,Arrest Counts,2
Winooski Police,Winooski, Asian,2016,police,Arrest Counts,2
Winooski Police,Winooski, Hispanic,2016,police,Arrest Counts,0
Winooski Police,Winooski, White,2017,police,Arrest Counts,22
Winooski Police,Winooski, Black,2017,police,Arrest Counts,3
Winooski Police,Winooski, Asian,2017,police,Arrest Counts,2
Winooski Police,Winooski, White,2018,police,Arrest Counts,33
Winooski Police,Winooski, Black,2018,police,Arrest Counts,6
Winooski Police,Winooski, Asian,2018,police,Arrest Counts,4
Winooski Police,Winooski, Hispanic,2018,police,Arrest Counts,0
Winooski Police,Winooski, White,2019,police,Arrest Counts,51
Winooski Police,Winooski, Black,2019,police,Arrest Counts,10
Winooski Police,Winooski, Asian,2019,police,Arrest Counts,0
Winooski Police,Winooski, Hispanic,2019,police,Arrest Counts,0
Woodstock Police,Woodstock, White,2015,police,Arrest Counts,2
Woodstock Police,Woodstock, Black,2015,police,Arrest Counts,0
Woodstock Police,Woodstock, Asian,2015,police,Arrest Counts,0
Woodstock Police,Woodstock, Hispanic,2015,police,Arrest Counts,0
Woodstock Police,Woodstock, White,2016,police,Arrest Counts,0
Woodstock Police,Woodstock, Black,2016,police,Arrest Counts,0
Woodstock Police,Woodstock, Asian,2016,police,Arrest Counts,0
Woodstock Police,Woodstock, Hispanic,2016,police,Arrest Counts,0
Woodstock Police,Woodstock, White,2017,police,Arrest Counts,0
Woodstock Police,Woodstock, Black,2017,police,Arrest Counts,0
Woodstock Police,Woodstock, Asian,2017,police,Arrest Counts,0
Woodstock Police,Woodstock, Hispanic,2017,police,Arrest Counts,0
Woodstock Police,Woodstock, White,2018,police,Arrest Counts,0
Woodstock Police,Woodstock, Black,2018,police,Arrest Counts,0
Woodstock Police,Woodstock, Asian,2018,police,Arrest Counts,0
Woodstock Police,Woodstock, Hispanic,2018,police,Arrest Counts,0
Addison County Sheriff,Addison County, White,2014,sheriff,Ticket Counts,634
Addison County Sheriff,Addison County, Black,2014,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Asian,2014,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Hispanic,2014,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, White,2015,sheriff,Ticket Counts,2642
Addison County Sheriff,Addison County, Black,2015,sheriff,Ticket Counts,45
Addison County Sheriff,Addison County, Asian,2015,sheriff,Ticket Counts,23
Addison County Sheriff,Addison County, Hispanic,2015,sheriff,Ticket Counts,22
Addison County Sheriff,Addison County, White,2016,sheriff,Ticket Counts,1374
Addison County Sheriff,Addison County, Black,2016,sheriff,Ticket Counts,31
Addison County Sheriff,Addison County, Asian,2016,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Hispanic,2016,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, White,2017,sheriff,Ticket Counts,1189
Addison County Sheriff,Addison County, Black,2017,sheriff,Ticket Counts,30
Addison County Sheriff,Addison County, Asian,2017,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Hispanic,2017,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, White,2018,sheriff,Ticket Counts,107
Addison County Sheriff,Addison County, Black,2018,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Asian,2018,sheriff,Ticket Counts,0
Addison County Sheriff,Addison County, Hispanic,2018,sheriff,Ticket Counts,0
All Police,All Vermont, White,2011,police,Ticket Counts,542
All Police,All Vermont, Black,2011,police,Ticket Counts,17
All Police,All Vermont, Asian,2011,police,Ticket Counts,6
All Police,All Vermont, Hispanic,2011,police,Ticket Counts,0
All Police,All Vermont, White,2012,police,Ticket Counts,3337
All Police,All Vermont, Black,2012,police,Ticket Counts,201
All Police,All Vermont, Asian,2012,police,Ticket Counts,77
All Police,All Vermont, Hispanic,2012,police,Ticket Counts,17
All Police,All Vermont, White,2013,police,Ticket Counts,5362
All Police,All Vermont, Black,2013,police,Ticket Counts,289
All Police,All Vermont, Asian,2013,police,Ticket Counts,113
All Police,All Vermont, Hispanic,2013,police,Ticket Counts,42
All Police,All Vermont, White,2014,police,Ticket Counts,8750
All Police,All Vermont, Black,2014,police,Ticket Counts,380
All Police,All Vermont, Asian,2014,police,Ticket Counts,188
All Police,All Vermont, Hispanic,2014,police,Ticket Counts,82
All Police,All Vermont, White,2015,police,Ticket Counts,18329
All Police,All Vermont, Black,2015,police,Ticket Counts,725
All Police,All Vermont, Asian,2015,police,Ticket Counts,339
All Police,All Vermont, Hispanic,2015,police,Ticket Counts,209
All Police,All Vermont, White,2016,police,Ticket Counts,17546
All Police,All Vermont, Black,2016,police,Ticket Counts,629
All Police,All Vermont, Asian,2016,police,Ticket Counts,327
All Police,All Vermont, Hispanic,2016,police,Ticket Counts,225
All Police,All Vermont, White,2017,police,Ticket Counts,25969
All Police,All Vermont, Black,2017,police,Ticket Counts,952
All Police,All Vermont, Asian,2017,police,Ticket Counts,496
All Police,All Vermont, Hispanic,2017,police,Ticket Counts,405
All Police,All Vermont, White,2018,police,Ticket Counts,22426
All Police,All Vermont, Black,2018,police,Ticket Counts,948
All Police,All Vermont, Asian,2018,police,Ticket Counts,470
All Police,All Vermont, Hispanic,2018,police,Ticket Counts,418
All Police,All Vermont, White,2019,police,Ticket Counts,9483
All Police,All Vermont, Black,2019,police,Ticket Counts,515
All Police,All Vermont, Asian,2019,police,Ticket Counts,233
All Police,All Vermont, Hispanic,2019,police,Ticket Counts,165
All Sheriffs,All Vermont, White,2014,sheriff,Ticket Counts,1131
All Sheriffs,All Vermont, Black,2014,sheriff,Ticket Counts,0
All Sheriffs,All Vermont, Asian,2014,sheriff,Ticket Counts,0
All Sheriffs,All Vermont, Hispanic,2014,sheriff,Ticket Counts,0
All Sheriffs,All Vermont, White,2015,sheriff,Ticket Counts,5533
All Sheriffs,All Vermont, Black,2015,sheriff,Ticket Counts,89
All Sheriffs,All Vermont, Asian,2015,sheriff,Ticket Counts,58
All Sheriffs,All Vermont, Hispanic,2015,sheriff,Ticket Counts,41
All Sheriffs,All Vermont, White,2016,sheriff,Ticket Counts,2982
All Sheriffs,All Vermont, Black,2016,sheriff,Ticket Counts,75
All Sheriffs,All Vermont, Asian,2016,sheriff,Ticket Counts,29
All Sheriffs,All Vermont, Hispanic,2016,sheriff,Ticket Counts,0
All Sheriffs,All Vermont, White,2017,sheriff,Ticket Counts,17603
All Sheriffs,All Vermont, Black,2017,sheriff,Ticket Counts,232
All Sheriffs,All Vermont, Asian,2017,sheriff,Ticket Counts,249
All Sheriffs,All Vermont, Hispanic,2017,sheriff,Ticket Counts,176
All Sheriffs,All Vermont, White,2018,sheriff,Ticket Counts,12453
All Sheriffs,All Vermont, Black,2018,sheriff,Ticket Counts,163
All Sheriffs,All Vermont, Asian,2018,sheriff,Ticket Counts,122
All Sheriffs,All Vermont, Hispanic,2018,sheriff,Ticket Counts,103
All Vermont Agencies,All Vermont, White,2010,multiple,Ticket Counts,9268
All Vermont Agencies,All Vermont, Black,2010,multiple,Ticket Counts,219
All Vermont Agencies,All Vermont, Asian,2010,multiple,Ticket Counts,132
All Vermont Agencies,All Vermont, Hispanic,2010,multiple,Ticket Counts,89
All Vermont Agencies,All Vermont, White,2011,multiple,Ticket Counts,17261
All Vermont Agencies,All Vermont, Black,2011,multiple,Ticket Counts,387
All Vermont Agencies,All Vermont, Asian,2011,multiple,Ticket Counts,265
All Vermont Agencies,All Vermont, Hispanic,2011,multiple,Ticket Counts,181
All Vermont Agencies,All Vermont, White,2012,multiple,Ticket Counts,21024
All Vermont Agencies,All Vermont, Black,2012,multiple,Ticket Counts,580
All Vermont Agencies,All Vermont, Asian,2012,multiple,Ticket Counts,379
All Vermont Agencies,All Vermont, Hispanic,2012,multiple,Ticket Counts,196
All Vermont Agencies,All Vermont, White,2013,multiple,Ticket Counts,21724
All Vermont Agencies,All Vermont, Black,2013,multiple,Ticket Counts,688
All Vermont Agencies,All Vermont, Asian,2013,multiple,Ticket Counts,436
All Vermont Agencies,All Vermont, Hispanic,2013,multiple,Ticket Counts,289
All Vermont Agencies,All Vermont, White,2014,multiple,Ticket Counts,26887
All Vermont Agencies,All Vermont, Black,2014,multiple,Ticket Counts,875
All Vermont Agencies,All Vermont, Asian,2014,multiple,Ticket Counts,570
All Vermont Agencies,All Vermont, Hispanic,2014,multiple,Ticket Counts,306
All Vermont Agencies,All Vermont, White,2015,multiple,Ticket Counts,38629
All Vermont Agencies,All Vermont, Black,2015,multiple,Ticket Counts,1233
All Vermont Agencies,All Vermont, Asian,2015,multiple,Ticket Counts,692
All Vermont Agencies,All Vermont, Hispanic,2015,multiple,Ticket Counts,460
All Vermont Agencies,All Vermont, White,2016,multiple,Ticket Counts,39216
All Vermont Agencies,All Vermont, Black,2016,multiple,Ticket Counts,1194
All Vermont Agencies,All Vermont, Asian,2016,multiple,Ticket Counts,769
All Vermont Agencies,All Vermont, Hispanic,2016,multiple,Ticket Counts,553
All Vermont Agencies,All Vermont, White,2017,multiple,Ticket Counts,68767
All Vermont Agencies,All Vermont, Black,2017,multiple,Ticket Counts,1947
All Vermont Agencies,All Vermont, Asian,2017,multiple,Ticket Counts,1555
All Vermont Agencies,All Vermont, Hispanic,2017,multiple,Ticket Counts,1052
All Vermont Agencies,All Vermont, White,2018,multiple,Ticket Counts,53975
All Vermont Agencies,All Vermont, Black,2018,multiple,Ticket Counts,1718
All Vermont Agencies,All Vermont, Asian,2018,multiple,Ticket Counts,1194
All Vermont Agencies,All Vermont, Hispanic,2018,multiple,Ticket Counts,846
All Vermont Agencies,All Vermont, White,2019,multiple,Ticket Counts,28469
All Vermont Agencies,All Vermont, Black,2019,multiple,Ticket Counts,1170
All Vermont Agencies,All Vermont, Asian,2019,multiple,Ticket Counts,825
All Vermont Agencies,All Vermont, Hispanic,2019,multiple,Ticket Counts,535
Barre City Police,Barre City, White,2014,police,Ticket Counts,71
Barre City Police,Barre City, Black,2014,police,Ticket Counts,0
Barre City Police,Barre City, Hispanic,2014,police,Ticket Counts,0
Barre City Police,Barre City, White,2015,police,Ticket Counts,194
Barre City Police,Barre City, Black,2015,police,Ticket Counts,0
Barre City Police,Barre City, Hispanic,2015,police,Ticket Counts,0
Barre City Police,Barre City, White,2017,police,Ticket Counts,172
Barre City Police,Barre City, Black,2017,police,Ticket Counts,0
Barre City Police,Barre City, Hispanic,2017,police,Ticket Counts,0
Barre City Police,Barre City, White,2018,police,Ticket Counts,158
Barre City Police,Barre City, Black,2018,police,Ticket Counts,1
Barre City Police,Barre City, Asian,2018,police,Ticket Counts,0
Barre City Police,Barre City, Hispanic,2018,police,Ticket Counts,0
Barre Town Police,Barre Town, White,2014,police,Ticket Counts,96
Barre Town Police,Barre Town, Black,2014,police,Ticket Counts,0
Barre Town Police,Barre Town, Hispanic,2014,police,Ticket Counts,0
Barre Town Police,Barre Town, White,2015,police,Ticket Counts,459
Barre Town Police,Barre Town, Black,2015,police,Ticket Counts,0
Barre Town Police,Barre Town, Asian,2015,police,Ticket Counts,0
Barre Town Police,Barre Town, Hispanic,2015,police,Ticket Counts,0
Barre Town Police,Barre Town, White,2016,police,Ticket Counts,172
Barre Town Police,Barre Town, Black,2016,police,Ticket Counts,0
Barre Town Police,Barre Town, Hispanic,2016,police,Ticket Counts,0
Barre Town Police,Barre Town, White,2017,police,Ticket Counts,450
Barre Town Police,Barre Town, Black,2017,police,Ticket Counts,0
Barre Town Police,Barre Town, Asian,2017,police,Ticket Counts,0
Barre Town Police,Barre Town, Hispanic,2017,police,Ticket Counts,0
Barre Town Police,Barre Town, White,2018,police,Ticket Counts,472
Barre Town Police,Barre Town, Black,2018,police,Ticket Counts,10
Barre Town Police,Barre Town, Asian,2018,police,Ticket Counts,0
Barre Town Police,Barre Town, Hispanic,2018,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, White,2016,police,Ticket Counts,171
Bellows Falls Police,Bellows Falls, Black,2016,police,Ticket Counts,3
Bellows Falls Police,Bellows Falls, Asian,2016,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, White,2017,police,Ticket Counts,140
Bellows Falls Police,Bellows Falls, Black,2017,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, Asian,2017,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, Hispanic,2017,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, White,2018,police,Ticket Counts,196
Bellows Falls Police,Bellows Falls, Black,2018,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, Asian,2018,police,Ticket Counts,0
Bellows Falls Police,Bellows Falls, Hispanic,2018,police,Ticket Counts,0
Bennington County Sheriff,Bennington County, White,2017,sheriff,Ticket Counts,878
Bennington County Sheriff,Bennington County, Black,2017,sheriff,Ticket Counts,0
Bennington County Sheriff,Bennington County, Asian,2017,sheriff,Ticket Counts,0
Bennington County Sheriff,Bennington County, Hispanic,2017,sheriff,Ticket Counts,0
Bennington County Sheriff,Bennington County, White,2018,sheriff,Ticket Counts,1101
Bennington County Sheriff,Bennington County, Black,2018,sheriff,Ticket Counts,14
Bennington County Sheriff,Bennington County, Asian,2018,sheriff,Ticket Counts,0
Bennington County Sheriff,Bennington County, Hispanic,2018,sheriff,Ticket Counts,8
Bennington Police,Bennington, White,2014,police,Ticket Counts,451
Bennington Police,Bennington, Black,2014,police,Ticket Counts,0
Bennington Police,Bennington, Asian,2014,police,Ticket Counts,0
Bennington Police,Bennington, Hispanic,2014,police,Ticket Counts,0
Bennington Police,Bennington, White,2015,police,Ticket Counts,2203
Bennington Police,Bennington, Black,2015,police,Ticket Counts,74
Bennington Police,Bennington, Asian,2015,police,Ticket Counts,15
Bennington Police,Bennington, Hispanic,2015,police,Ticket Counts,33
Bennington Police,Bennington, White,2016,police,Ticket Counts,2633
Bennington Police,Bennington, Black,2016,police,Ticket Counts,48
Bennington Police,Bennington, Asian,2016,police,Ticket Counts,40
Bennington Police,Bennington, Hispanic,2016,police,Ticket Counts,32
Bennington Police,Bennington, White,2017,police,Ticket Counts,3598
Bennington Police,Bennington, Black,2017,police,Ticket Counts,111
Bennington Police,Bennington, Asian,2017,police,Ticket Counts,74
Bennington Police,Bennington, Hispanic,2017,police,Ticket Counts,53
Bennington Police,Bennington, White,2018,police,Ticket Counts,3120
Bennington Police,Bennington, Black,2018,police,Ticket Counts,76
Bennington Police,Bennington, Asian,2018,police,Ticket Counts,75
Bennington Police,Bennington, Hispanic,2018,police,Ticket Counts,46
Bennington Police,Bennington, White,2019,police,Ticket Counts,2584
Bennington Police,Bennington, Black,2019,police,Ticket Counts,69
Bennington Police,Bennington, Asian,2019,police,Ticket Counts,54
Bennington Police,Bennington, Hispanic,2019,police,Ticket Counts,47
Berlin Police,Berlin, White,2015,police,Ticket Counts,0
Berlin Police,Berlin, Black,2015,police,Ticket Counts,0
Berlin Police,Berlin, Asian,2015,police,Ticket Counts,0
Berlin Police,Berlin, White,2016,police,Ticket Counts,0
Berlin Police,Berlin, Black,2016,police,Ticket Counts,0
Berlin Police,Berlin, Asian,2016,police,Ticket Counts,0
Berlin Police,Berlin, Hispanic,2016,police,Ticket Counts,0
Berlin Police,Berlin, White,2017,police,Ticket Counts,32
Berlin Police,Berlin, Black,2017,police,Ticket Counts,0
Berlin Police,Berlin, Hispanic,2017,police,Ticket Counts,0
Berlin Police,Berlin, White,2018,police,Ticket Counts,568
Berlin Police,Berlin, Black,2018,police,Ticket Counts,13
Berlin Police,Berlin, Asian,2018,police,Ticket Counts,3
Berlin Police,Berlin, Hispanic,2018,police,Ticket Counts,0
Bradford Police,Bradford, White,2015,police,Ticket Counts,0
Bradford Police,Bradford, White,2016,police,Ticket Counts,0
Bradford Police,Bradford, White,2017,police,Ticket Counts,89
Bradford Police,Bradford, Black,2017,police,Ticket Counts,0
Bradford Police,Bradford, Asian,2017,police,Ticket Counts,0
Bradford Police,Bradford, Hispanic,2017,police,Ticket Counts,0
Bradford Police,Bradford, White,2018,police,Ticket Counts,33
Bradford Police,Bradford, Black,2018,police,Ticket Counts,0
Bradford Police,Bradford, Asian,2018,police,Ticket Counts,0
Bradford Police,Bradford, Hispanic,2018,police,Ticket Counts,0
Brandon Police,Brandon, White,2014,police,Ticket Counts,72
Brandon Police,Brandon, Black,2014,police,Ticket Counts,0
Brandon Police,Brandon, Asian,2014,police,Ticket Counts,0
Brandon Police,Brandon, Hispanic,2014,police,Ticket Counts,0
Brandon Police,Brandon, White,2015,police,Ticket Counts,208
Brandon Police,Brandon, Black,2015,police,Ticket Counts,0
Brandon Police,Brandon, Asian,2015,police,Ticket Counts,0
Brandon Police,Brandon, Hispanic,2015,police,Ticket Counts,0
Brandon Police,Brandon, White,2016,police,Ticket Counts,125
Brandon Police,Brandon, Black,2016,police,Ticket Counts,0
Brandon Police,Brandon, Asian,2016,police,Ticket Counts,0
Brandon Police,Brandon, Hispanic,2016,police,Ticket Counts,0
Brandon Police,Brandon, White,2017,police,Ticket Counts,174
Brandon Police,Brandon, Black,2017,police,Ticket Counts,0
Brandon Police,Brandon, Asian,2017,police,Ticket Counts,0
Brandon Police,Brandon, Hispanic,2017,police,Ticket Counts,0
Brandon Police,Brandon, White,2018,police,Ticket Counts,181
Brandon Police,Brandon, Black,2018,police,Ticket Counts,0
Brandon Police,Brandon, Asian,2018,police,Ticket Counts,0
Brandon Police,Brandon, Hispanic,2018,police,Ticket Counts,0
Brattleboro Police,Brattleboro, White,2014,police,Ticket Counts,335
Brattleboro Police,Brattleboro, Black,2014,police,Ticket Counts,8
Brattleboro Police,Brattleboro, Asian,2014,police,Ticket Counts,0
Brattleboro Police,Brattleboro, Hispanic,2014,police,Ticket Counts,0
Brattleboro Police,Brattleboro, White,2015,police,Ticket Counts,530
Brattleboro Police,Brattleboro, Black,2015,police,Ticket Counts,18
Brattleboro Police,Brattleboro, Asian,2015,police,Ticket Counts,4
Brattleboro Police,Brattleboro, Hispanic,2015,police,Ticket Counts,4
Brattleboro Police,Brattleboro, White,2016,police,Ticket Counts,184
Brattleboro Police,Brattleboro, Black,2016,police,Ticket Counts,13
Brattleboro Police,Brattleboro, Asian,2016,police,Ticket Counts,0
Brattleboro Police,Brattleboro, Hispanic,2016,police,Ticket Counts,0
Brattleboro Police,Brattleboro, White,2017,police,Ticket Counts,554
Brattleboro Police,Brattleboro, Black,2017,police,Ticket Counts,36
Brattleboro Police,Brattleboro, Asian,2017,police,Ticket Counts,6
Brattleboro Police,Brattleboro, Hispanic,2017,police,Ticket Counts,9
Brattleboro Police,Brattleboro, White,2018,police,Ticket Counts,309
Brattleboro Police,Brattleboro, Black,2018,police,Ticket Counts,31
Brattleboro Police,Brattleboro, Asian,2018,police,Ticket Counts,5
Brattleboro Police,Brattleboro, Hispanic,2018,police,Ticket Counts,6
Brattleboro Police,Brattleboro, White,2019,police,Ticket Counts,346
Brattleboro Police,Brattleboro, Black,2019,police,Ticket Counts,26
Brattleboro Police,Brattleboro, Asian,2019,police,Ticket Counts,7
Brattleboro Police,Brattleboro, Hispanic,2019,police,Ticket Counts,5
Bristol Police,Bristol, White,2014,police,Ticket Counts,42
Bristol Police,Bristol, Black,2014,police,Ticket Counts,0
Bristol Police,Bristol, White,2015,police,Ticket Counts,216
Bristol Police,Bristol, Black,2015,police,Ticket Counts,0
Bristol Police,Bristol, Hispanic,2015,police,Ticket Counts,0
Bristol Police,Bristol, White,2016,police,Ticket Counts,66
Bristol Police,Bristol, White,2017,police,Ticket Counts,216
Bristol Police,Bristol, Black,2017,police,Ticket Counts,0
Bristol Police,Bristol, Asian,2017,police,Ticket Counts,0
Bristol Police,Bristol, Hispanic,2017,police,Ticket Counts,0
Bristol Police,Bristol, White,2018,police,Ticket Counts,150
Bristol Police,Bristol, Black,2018,police,Ticket Counts,0
Bristol Police,Bristol, Asian,2018,police,Ticket Counts,0
Bristol Police,Bristol, Hispanic,2018,police,Ticket Counts,0
Burlington Police,Burlington, White,2012,police,Ticket Counts,1208
Burlington Police,Burlington, Black,2012,police,Ticket Counts,137
Burlington Police,Burlington, Asian,2012,police,Ticket Counts,50
Burlington Police,Burlington, Hispanic,2012,police,Ticket Counts,7
Burlington Police,Burlington, White,2013,police,Ticket Counts,1021
Burlington Police,Burlington, Black,2013,police,Ticket Counts,100
Burlington Police,Burlington, Asian,2013,police,Ticket Counts,38
Burlington Police,Burlington, Hispanic,2013,police,Ticket Counts,10
Burlington Police,Burlington, White,2014,police,Ticket Counts,1219
Burlington Police,Burlington, Black,2014,police,Ticket Counts,110
Burlington Police,Burlington, Asian,2014,police,Ticket Counts,53
Burlington Police,Burlington, Hispanic,2014,police,Ticket Counts,10
Burlington Police,Burlington, White,2015,police,Ticket Counts,1137
Burlington Police,Burlington, Black,2015,police,Ticket Counts,174
Burlington Police,Burlington, Asian,2015,police,Ticket Counts,58
Burlington Police,Burlington, Hispanic,2015,police,Ticket Counts,8
Burlington Police,Burlington, White,2016,police,Ticket Counts,1052
Burlington Police,Burlington, Black,2016,police,Ticket Counts,134
Burlington Police,Burlington, Asian,2016,police,Ticket Counts,59
Burlington Police,Burlington, Hispanic,2016,police,Ticket Counts,13
Burlington Police,Burlington, White,2017,police,Ticket Counts,504
Burlington Police,Burlington, Black,2017,police,Ticket Counts,77
