Agency,"Sorted Race","Driver Area",Race,Years,"Agency Type",ShortAgencyName,"Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",ArrestDiffZScore,ArrestDiffPIsLT5pct,MalesDiffPIsLT5pct,"Agencies Included",RaceBarStyle,Tooltip,DriverPctInfo,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (PC/RS) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (PC/RS) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct",ACSCount
"All Sheriffs","3 - Asian","All Vermont"," Asian",2014-18,sheriff,"All Sheriffs",TRUE,863,75968,1,471,212,592,73416,45501,NULL,0.011,NULL,1,0.0012,0.5458,0.2457,0.0055,0.5408,0.3885,0.6860,0.6198,0.0,0.0,0.0,,#9F81F7,Unused,Unused,NULL,1,0,0,0,0.001,0.000,0.000,0.000,NULL
"All Sheriffs","5 - Hispanic","All Vermont"," Hispanic",2014-18,sheriff,"All Sheriffs",TRUE,590,75968,7,345,170,428,73416,45501,NULL,0.008,NULL,1,0.0119,0.5847,0.2881,0.0055,0.5408,0.3885,0.7254,0.6198,0.0,0.0,0.0,,#F7D358,Unused,Unused,NULL,5,3,3,2,0.008,0.600,0.600,0.400,NULL
"All Vermont Agencies","1 - White","All Vermont"," White",2010-19,multiple,"All Vermont",TRUE,866638,919028,10442,325220,526414,520628,866638,520628,0.93800000000,0.943,1.005,1,0.0120,0.3753,0.6074,0.0120,0.3753,0.6074,0.6007,0.6007,0.0,0.0,0.0,,#58ACFA,Unused,Unused,NULL,7922,6071,4880,1562,0.009,0.766,0.616,0.197,501468
"All Vermont Agencies","2 - Black","All Vermont"," Black",2010-19,multiple,"All Vermont",TRUE,25851,919028,553,10011,15255,18330,866638,520628,0.02700000000,0.028,1.042,1,0.0214,0.3873,0.5901,0.0120,0.3753,0.6074,0.7091,0.6007,0.0,0.0,0.0,,#58FAAC,Unused,Unused,NULL,870,588,439,124,0.034,0.676,0.505,0.143,8619
"All Vermont Agencies","3 - Asian","All Vermont"," Asian",2010-19,multiple,"All Vermont",TRUE,16061,919028,132,6817,8881,10474,866638,520628,0.02600000000,0.017,0.672,1,0.0082,0.4244,0.5530,0.0120,0.3753,0.6074,0.6521,0.6007,0.0,0.0,0.0,,#9F81F7,Unused,Unused,NULL,86,57,48,18,0.005,0.663,0.558,0.209,10945
"All Vermont Agencies","5 - Hispanic","All Vermont"," Hispanic",2010-19,multiple,"All Vermont",TRUE,9728,919028,174,4507,4972,7124,866638,520628,0.00800000000,0.011,1.323,1,0.0179,0.4633,0.5111,0.0120,0.3753,0.6074,0.7323,0.6007,0.0,0.0,0.0,,#F7D358,Unused,Unused,NULL,229,152,114,30,0.024,0.664,0.498,0.131,0
"Barre City Police","1 - White","Barre City"," White","2014-15,17,18",police,"Barre City",TRUE,2682,2760,60,595,2046,1558,2682,1558,0.96800000000,0.972,1.004,1,0.0224,0.2218,0.7629,0.0224,0.2218,0.7629,0.5809,0.5809,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Washington County",8,5,3,0,0.003,0.625,0.375,0.000,6937
"Barre City Police","2 - Black","Barre City"," Black","2014-15,17,18",police,"Barre City",TRUE,51,2760,2,13,37,45,2682,1558,0.01200000000,0.018,1.540,1,0.0392,0.2549,0.7255,0.0224,0.2218,0.7629,0.8824,0.5809,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,159
"Barre City Police","3 - Asian","Barre City"," Asian",2018,police,"Barre City",FALSE,9,1438,0,0,0,7,1397,793,0.01300000000,0.006,0.481,1,,,,0.0165,0.1131,0.8862,,0.5676,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,79
"Barre City Police","5 - Hispanic","Barre City"," Hispanic","2014-15,17,18",police,"Barre City",FALSE,17,2760,0,0,0,8,2682,1558,0.00700000000,0.006,0.880,1,,,,0.0224,0.2218,0.7629,,0.5809,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,0
