Agency,"Sorted Race","Driver Area",Race,Years,"Agency Type",ShortAgencyName,"Enough Traffic Stops","Traffic Stop Count","Traffic Stop Count All Races","Arrest Counts","Ticket Counts","Warning Counts",MaleStopsForYear,"White Stops","White Male Stops","% of Drivers","Traffic Stop %","Traffic Stop vs Pop Share","100 Percent",Arrests,Tickets,Warnings,"White Arrests","White Tickets","White Warnings","Males as % of Stops","White Male Stop %",ArrestDiffZScore,ArrestDiffPIsLT5pct,MalesDiffPIsLT5pct,"Agencies Included",RaceBarStyle,Tooltip,DriverPctInfo,County,"Stops w/ Search (Any) Count","Stops w/ Search (Any) + Contraband Count","Stops w/ Search (PC/RS) + Contraband + Arrest/Ticket Count","Stops w/ Search (Any) + Contraband + Arrest Count","Stops w/ Search (PC/RS) Pct","Stops w/ Search (Any) + Contraband Pct","Stops w/ Search (Any) + Contraband + Arrest/Ticket Pct","Stops w/ Search (Any) + Contraband + Arrest Pct",ACSCount
"Hardwick Police","5 - Hispanic",Hardwick," Hispanic",2015-16,police,Hardwick,FALSE,2,900,0,0,0,2,878,553,0.00700000000,0.002,0.317,1,,,,0.0148,0.3041,0.6446,,0.6298,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Hartford Police","1 - White",Hartford," White",2015-18,police,Hartford,TRUE,5351,5868,78,925,4357,2692,5351,2692,0.95800000000,0.912,0.952,1,0.0146,0.1729,0.8142,0.0146,0.1729,0.8142,0.5031,0.5031,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windsor County",87,65,55,20,0.016,0.747,0.632,0.230,7884
"Hartford Police","2 - Black",Hartford," Black",2015-18,police,Hartford,TRUE,216,5868,4,39,166,107,5351,2692,0.01500000000,0.037,2.454,1,0.0185,0.1806,0.7685,0.0146,0.1729,0.8142,0.4954,0.5031,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windsor County",6,2,2,1,0.028,0.333,0.333,0.167,116
"Hartford Police","3 - Asian",Hartford," Asian",2015-18,police,Hartford,TRUE,180,5868,2,35,143,101,5351,2692,0.02000000000,0.031,1.534,1,0.0111,0.1944,0.7944,0.0146,0.1729,0.8142,0.5611,0.5031,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windsor County",1,1,1,0,0.006,1.000,1.000,0.000,234
"Hartford Police","5 - Hispanic",Hartford," Hispanic",2015-18,police,Hartford,TRUE,107,5868,1,31,74,72,5351,2692,0.00800000000,0.018,2.279,1,0.0093,0.2897,0.6916,0.0146,0.1729,0.8142,0.6729,0.5031,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windsor County",6,3,3,0,0.056,0.500,0.500,0.000,0
"Hinesburg Police","1 - White",Hinesburg," White",2014-18,police,Hinesburg,TRUE,3880,4011,11,2169,1680,2376,3880,2376,0.96800000000,0.967,0.999,1,0.0028,0.5590,0.4330,0.0028,0.5590,0.4330,0.6124,0.6124,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",14,8,7,0,0.004,0.571,0.500,0.000,618
"Hinesburg Police","2 - Black",Hinesburg," Black",2014-18,police,Hinesburg,TRUE,72,4011,0,42,30,50,3880,2376,0.01400000000,0.018,1.282,1,0.0000,0.5833,0.4167,0.0028,0.5590,0.4330,0.6944,0.6124,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,14
"Hinesburg Police","3 - Asian",Hinesburg," Asian","2014-15,17,18",police,Hinesburg,TRUE,40,3887,0,22,18,25,3759,2294,0.01000000000,0.010,1.029,1,0.0000,0.5500,0.4500,0.0029,0.5581,0.4336,0.6250,0.6103,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,11
"Hinesburg Police","5 - Hispanic",Hinesburg," Hispanic",2014-18,police,Hinesburg,FALSE,17,4011,0,0,0,10,3880,2376,0.00800000000,0.004,0.530,1,,,,0.0028,0.5590,0.4330,,0.6124,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Killington Police","1 - White",Killington," White",2015-18,police,Killington,TRUE,1188,1253,18,758,422,803,1188,803,0.90000000000,0.948,1.053,1,0.0152,0.6380,0.3552,0.0152,0.6380,0.3552,0.6759,0.6759,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",23,15,13,2,0.019,0.652,0.565,0.087,616
"Killington Police","2 - Black",Killington," Black",2016-18,police,Killington,TRUE,26,1202,1,14,12,18,1141,767,0.02500000000,0.022,0.865,1,0.0385,0.5385,0.4615,0.0158,0.6450,0.3479,0.6923,0.6722,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Rutland County",2,2,2,1,0.077,1.000,1.000,0.500,0
"Killington Police","3 - Asian",Killington," Asian",2015-18,police,Killington,TRUE,25,1253,0,14,12,23,1188,803,0.05000000000,0.020,0.399,1,0.0000,0.5600,0.4800,0.0152,0.6380,0.3552,0.9200,0.6759,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,28
"Killington Police","5 - Hispanic",Killington," Hispanic",2015-18,police,Killington,FALSE,14,1253,0,0,0,13,1188,803,0.02500000000,0.011,0.447,1,,,,0.0152,0.6380,0.3552,,0.6759,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Lamoille County Sheriff","1 - White","Lamoille County"," White",2018,sheriff,"Lamoille County",TRUE,1730,1782,7,497,1255,1036,1730,1036,0.97000000000,0.971,1.001,1,0.0040,0.2873,0.7254,0.0040,0.2873,0.7254,0.5988,0.5988,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Lamoille County",5,1,1,0,0.003,0.200,0.200,0.000,19995
"Lamoille County Sheriff","2 - Black","Lamoille County"," Black",2018,sheriff,"Lamoille County",TRUE,41,1782,1,16,27,22,1730,1036,0.01100000000,0.023,2.092,1,0.0244,0.3902,0.6585,0.0040,0.2873,0.7254,0.5366,0.5988,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,310
"Lamoille County Sheriff","3 - Asian","Lamoille County"," Asian",2018,sheriff,"Lamoille County",FALSE,5,1782,0,0,0,3,1730,1036,0.01300000000,0.003,0.216,1,,,,0.0040,0.2873,0.7254,,0.5988,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,215
"Lamoille County Sheriff","5 - Hispanic","Lamoille County"," Hispanic",2018,sheriff,"Lamoille County",FALSE,6,1782,0,0,0,4,1730,1036,0.00600000000,0.003,0.561,1,,,,0.0040,0.2873,0.7254,,0.5988,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Ludlow Police","1 - White",Ludlow," White",2017,police,Ludlow,FALSE,5,5,0,0,0,3,5,3,0.95100000000,1.000,1.052,1,,,,0.2000,0.8000,0.0000,,0.6000,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,707
"Lyndon Police","1 - White",Lyndon," White",2017-18,police,Lyndon,TRUE,442,456,11,65,375,228,442,228,0.98500000000,0.969,0.984,1,0.0249,0.1471,0.8484,0.0249,0.1471,0.8484,0.5158,0.5158,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Caledonia County",5,4,2,0,0.011,0.800,0.400,0.000,1159
"Lyndon Police","2 - Black",Lyndon," Black",2017-18,police,Lyndon,FALSE,10,456,0,0,0,9,442,228,0.00000000000,0.022,NULL,1,,,,0.0249,0.1471,0.8484,,0.5158,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Lyndon Police","3 - Asian",Lyndon," Asian",2018,police,Lyndon,FALSE,2,331,0,0,0,1,322,163,0.01500000000,0.006,0.403,1,,,,0.0217,0.1149,0.8758,,0.5062,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,21
"Lyndon Police","5 - Hispanic",Lyndon," Hispanic",2018,police,Lyndon,FALSE,2,331,0,0,0,1,322,163,0.00000000000,0.006,NULL,1,,,,0.0217,0.1149,0.8758,,0.5062,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Caledonia County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Manchester Police","1 - White",Manchester," White","2014-16,18",police,Manchester,TRUE,3444,3594,7,515,2617,2044,3444,2044,0.95000000000,0.958,1.009,1,0.0020,0.1495,0.7599,0.0020,0.1495,0.7599,0.5935,0.5935,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Bennington County",25,15,13,0,0.007,0.600,0.520,0.000,557
"Manchester Police","2 - Black",Manchester," Black","2014-16,18",police,Manchester,TRUE,78,3594,0,15,54,53,3444,2044,0.01600000000,0.022,1.356,1,0.0000,0.1923,0.6923,0.0020,0.1495,0.7599,0.6795,0.5935,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Bennington County",2,1,1,0,0.026,0.500,0.500,0.000,0
"Manchester Police","3 - Asian",Manchester," Asian","2014-16,18",police,Manchester,TRUE,44,3594,0,11,31,31,3444,2044,0.02600000000,0.012,0.471,1,0.0000,0.2500,0.7045,0.0020,0.1495,0.7599,0.7045,0.5935,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Bennington County",0,0,0,0,0.000,0.000,0.000,0.000,11
"Manchester Police","5 - Hispanic",Manchester," Hispanic","2014-16,18",police,Manchester,TRUE,28,3594,0,9,18,22,3444,2044,0.00800000000,0.008,0.974,1,0.0000,0.3214,0.6429,0.0020,0.1495,0.7599,0.7857,0.5935,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Bennington County",1,1,1,0,0.036,1.000,1.000,0.000,0
"Middlebury Police","1 - White",Middlebury," White",2014-18,police,Middlebury,TRUE,3207,3379,47,663,2500,1926,3207,1926,0.97000000000,0.949,0.978,1,0.0147,0.2067,0.7795,0.0147,0.2067,0.7795,0.6006,0.6006,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Addison County",63,45,37,9,0.020,0.714,0.587,0.143,5505
"Middlebury Police","2 - Black",Middlebury," Black",2014-18,police,Middlebury,TRUE,87,3379,1,17,69,70,3207,1926,0.01300000000,0.026,1.981,1,0.0115,0.1954,0.7931,0.0147,0.2067,0.7795,0.8046,0.6006,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,238
"Middlebury Police","3 - Asian",Middlebury," Asian",2014-18,police,Middlebury,TRUE,62,3379,1,8,53,35,3207,1926,0.01200000000,0.018,1.529,1,0.0161,0.1290,0.8548,0.0147,0.2067,0.7795,0.5645,0.6006,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,463
"Middlebury Police","5 - Hispanic",Middlebury," Hispanic","2014-16,18",police,Middlebury,TRUE,22,2546,0,4,18,18,2415,1454,0.00500000000,0.009,1.728,1,0.0000,0.1818,0.8182,0.0170,0.2414,0.7429,0.8182,0.6021,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Addison County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Milton Police","1 - White",Milton," White",2014-19,police,Milton,TRUE,14660,15184,246,3187,11259,9082,14660,9082,0.97300000000,0.965,0.992,1,0.0168,0.2174,0.7680,0.0168,0.2174,0.7680,0.6195,0.6195,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",124,84,70,18,0.008,0.677,0.565,0.145,1662
"Milton Police","2 - Black",Milton," Black",2014-19,police,Milton,TRUE,315,15184,9,64,239,237,14660,9082,0.01600000000,0.021,1.297,1,0.0286,0.2032,0.7587,0.0168,0.2174,0.7680,0.7524,0.6195,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",7,3,3,1,0.022,0.429,0.429,0.143,0
"Milton Police","3 - Asian",Milton," Asian",2014-19,police,Milton,TRUE,145,15184,3,27,113,92,14660,9082,0.00800000000,0.010,1.194,1,0.0207,0.1862,0.7793,0.0168,0.2174,0.7680,0.6345,0.6195,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Milton Police","5 - Hispanic",Milton," Hispanic",2014-19,police,Milton,TRUE,57,15184,0,14,42,38,14660,9082,0.00300000000,0.004,1.251,1,0.0000,0.2456,0.7368,0.0168,0.2174,0.7680,0.6667,0.6195,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Montpelier Police","1 - White",Montpelier," White",2014-18,police,Montpelier,TRUE,7067,7327,75,1217,5964,4067,7067,4067,0.96900000000,0.965,0.995,1,0.0106,0.1722,0.8439,0.0106,0.1722,0.8439,0.5755,0.5755,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Washington County",44,38,26,10,0.006,0.864,0.591,0.227,6079
"Montpelier Police","2 - Black",Montpelier," Black",2014-18,police,Montpelier,TRUE,124,7327,0,31,100,92,7067,4067,0.01400000000,0.017,1.209,1,0.0000,0.2500,0.8065,0.0106,0.1722,0.8439,0.7419,0.5755,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Washington County",2,2,1,0,0.016,1.000,0.500,0.000,182
"Montpelier Police","3 - Asian",Montpelier," Asian",2014-18,police,Montpelier,TRUE,92,7327,1,14,82,56,7067,4067,0.00900000000,0.013,1.395,1,0.0109,0.1522,0.8913,0.0106,0.1722,0.8439,0.6087,0.5755,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Washington County",1,0,0,0,0.011,0.000,0.000,0.000,92
"Montpelier Police","5 - Hispanic",Montpelier," Hispanic",2014-18,police,Montpelier,TRUE,42,7327,1,14,28,32,7067,4067,0.00900000000,0.006,0.637,1,0.0238,0.3333,0.6667,0.0106,0.1722,0.8439,0.7619,0.5755,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Morristown Police","1 - White",Morristown," White",2017-18,police,Morristown,TRUE,1492,1541,23,462,1031,903,1492,903,0.96900000000,0.968,0.999,1,0.0154,0.3097,0.6910,0.0154,0.3097,0.6910,0.6052,0.6052,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Lamoille County",15,13,12,1,0.010,0.867,0.800,0.067,4272
"Morristown Police","2 - Black",Morristown," Black",2017-18,police,Morristown,TRUE,30,1541,1,9,22,21,1492,903,0.01600000000,0.019,1.217,1,0.0333,0.3000,0.7333,0.0154,0.3097,0.6910,0.7000,0.6052,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,129
"Morristown Police","3 - Asian",Morristown," Asian",2017,police,Morristown,FALSE,3,817,0,0,0,2,795,466,0.00700000000,0.004,0.525,1,,,,0.0101,0.3233,0.6943,,0.5862,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,52
"Morristown Police","5 - Hispanic",Morristown," Hispanic",2017-18,police,Morristown,FALSE,14,1541,0,0,0,10,1492,903,0.00800000000,0.009,1.136,1,,,,0.0154,0.3097,0.6910,,0.6052,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Lamoille County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Newport Police","1 - White",Newport," White",2015-18,police,Newport,TRUE,3042,3117,26,1099,1915,1748,3042,1748,0.97200000000,0.976,1.004,1,0.0085,0.3613,0.6295,0.0085,0.3613,0.6295,0.5746,0.5746,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orleans County",34,25,20,5,0.011,0.735,0.588,0.147,3561
"Newport Police","2 - Black",Newport," Black",2016-18,police,Newport,TRUE,47,3061,2,17,29,35,2987,1721,0.01000000000,0.015,1.535,1,0.0426,0.3617,0.6170,0.0087,0.3495,0.6411,0.7447,0.5762,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orleans County",3,2,2,2,0.064,0.667,0.667,0.667,50
"Newport Police","3 - Asian",Newport," Asian",2015-18,police,Newport,FALSE,12,3117,0,0,0,8,3042,1748,0.01200000000,0.004,0.321,1,,,,0.0085,0.3613,0.6295,,0.5746,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Orleans County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Newport Police","5 - Hispanic",Newport," Hispanic",2016-18,police,Newport,FALSE,15,3061,0,0,0,8,2987,1721,0.00500000000,0.005,0.980,1,,,,0.0087,0.3495,0.6411,,0.5762,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orleans County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Northfield Police","1 - White",Northfield," White",2015-18,police,Northfield,TRUE,1298,1367,13,143,1083,765,1298,765,0.96500000000,0.950,0.984,1,0.0100,0.1102,0.8344,0.0100,0.1102,0.8344,0.5894,0.5894,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Washington County",23,14,9,3,0.018,0.609,0.391,0.130,1691
"Northfield Police","2 - Black",Northfield," Black",2015-18,police,Northfield,TRUE,33,1367,0,4,29,26,1298,765,0.01300000000,0.024,1.857,1,0.0000,0.1212,0.8788,0.0100,0.1102,0.8344,0.7879,0.5894,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,28
"Northfield Police","3 - Asian",Northfield," Asian",2015-18,police,Northfield,FALSE,17,1367,0,0,0,11,1298,765,0.01300000000,0.012,0.957,1,,,,0.0100,0.1102,0.8344,,0.5894,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,12
"Northfield Police","5 - Hispanic",Northfield," Hispanic",2015-18,police,Northfield,FALSE,17,1367,0,0,0,10,1298,765,0.00900000000,0.012,1.382,1,,,,0.0100,0.1102,0.8344,,0.5894,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Washington County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Orange County Sheriff","1 - White","Orange County"," White",2017-18,sheriff,"Orange County",TRUE,843,857,19,673,149,482,843,482,0.88500000000,0.984,1.111,1,0.0225,0.7983,0.1767,0.0225,0.7983,0.1767,0.5718,0.5718,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orange County",7,5,5,3,0.008,0.714,0.714,0.429,23698
"Orange County Sheriff","2 - Black","Orange County"," Black",2017-18,sheriff,"Orange County",FALSE,4,857,0,0,0,3,843,482,0.05100000000,0.005,0.092,1,,,,0.0225,0.7983,0.1767,,0.5718,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,212
"Orange County Sheriff","3 - Asian","Orange County"," Asian",2017-18,sheriff,"Orange County",FALSE,4,857,0,0,0,3,843,482,0.05100000000,0.005,0.092,1,,,,0.0225,0.7983,0.1767,,0.5718,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,199
"Orange County Sheriff","5 - Hispanic","Orange County"," Hispanic",2017-18,sheriff,"Orange County",FALSE,6,857,0,0,0,3,843,482,0.01300000000,0.007,0.539,1,,,,0.0225,0.7983,0.1767,,0.5718,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Orleans County Sheriff","1 - White","Orleans County"," White",2017-18,sheriff,"Orleans County",TRUE,6016,6207,5,4081,2102,3623,6016,3623,0.98300000000,0.969,0.986,1,0.0008,0.6784,0.3494,0.0008,0.6784,0.3494,0.6022,0.6022,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orleans County",52,34,27,0,0.009,0.654,0.519,0.000,21842
"Orleans County Sheriff","2 - Black","Orleans County"," Black",2017-18,sheriff,"Orleans County",TRUE,68,6207,0,44,25,56,6016,3623,0.01100000000,0.011,0.996,1,0.0000,0.6471,0.3676,0.0008,0.6784,0.3494,0.8235,0.6022,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orleans County",1,1,1,0,0.015,1.000,1.000,0.000,260
"Orleans County Sheriff","3 - Asian","Orleans County"," Asian",2017-18,sheriff,"Orleans County",TRUE,65,6207,0,52,14,48,6016,3623,0.00600000000,0.010,1.745,1,0.0000,0.8000,0.2154,0.0008,0.6784,0.3494,0.7385,0.6022,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Orleans County",0,0,0,0,0.000,0.000,0.000,0.000,128
"Orleans County Sheriff","5 - Hispanic","Orleans County"," Hispanic",2017-18,sheriff,"Orleans County",TRUE,57,6207,0,43,15,41,6016,3623,0.00000000000,0.009,NULL,1,0.0000,0.7544,0.2632,0.0008,0.6784,0.3494,0.7193,0.6022,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orleans County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Pawlet Constabulary","1 - White",Pawlet," White",2017-18,police,Pawlet,FALSE,9,9,0,0,0,5,9,5,NULL,1.000,NULL,1,,,,0.0000,1.0000,0.0000,,0.5556,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,1051
"Pittsford Police","1 - White",Pittsford," White",2016-18,police,Pittsford,TRUE,664,734,1,520,146,439,664,439,0.93900000000,0.905,0.963,1,0.0015,0.7831,0.2199,0.0015,0.7831,0.2199,0.6611,0.6611,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",3,0,0,0,0.005,0.000,0.000,0.000,537
"Pittsford Police","2 - Black",Pittsford," Black",2016-18,police,Pittsford,TRUE,52,734,0,49,3,45,664,439,0.02600000000,0.071,2.725,1,0.0000,0.9423,0.0577,0.0015,0.7831,0.2199,0.8654,0.6611,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,6
"Pittsford Police","3 - Asian",Pittsford," Asian",2016-18,police,Pittsford,FALSE,11,734,0,0,0,7,664,439,0.01800000000,0.015,0.833,1,,,,0.0015,0.7831,0.2199,,0.6611,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,41
"Pittsford Police","5 - Hispanic",Pittsford," Hispanic",2016-18,police,Pittsford,FALSE,7,734,0,0,0,5,664,439,0.01800000000,0.010,0.530,1,,,,0.0015,0.7831,0.2199,,0.6611,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Poultney Constabulary","1 - White",Poultney," White",2017-18,police,Poultney,TRUE,143,144,2,138,0,86,143,86,0.96600000000,0.993,1.028,1,0.0140,0.9650,0.0000,0.0140,0.9650,0.0000,0.6014,0.6014,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,1241
"Poultney Constabulary","3 - Asian",Poultney," Asian",2017,police,Poultney,FALSE,1,115,0,0,0,0,114,70,0.00900000000,0.009,0.966,1,,,,0.0175,0.9561,0.0000,,0.6140,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Rutland County",0,0,0,0,0.000,0.000,0.000,0.000,13
"Randolph Police","1 - White",Randolph," White",2014-18,police,Randolph,TRUE,1091,1122,11,415,675,640,1091,640,0.93600000000,0.972,1.039,1,0.0101,0.3804,0.6187,0.0101,0.3804,0.6187,0.5866,0.5866,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Orange County",12,8,8,1,0.011,0.667,0.667,0.083,1900
"Randolph Police","2 - Black",Randolph," Black","2015,17-18",police,Randolph,FALSE,15,985,0,0,0,9,956,551,0.01300000000,0.015,1.171,1,,,,0.0063,0.3149,0.6893,,0.5764,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Randolph Police","3 - Asian",Randolph," Asian",2016-17,police,Randolph,FALSE,3,730,0,0,0,3,704,413,0.03800000000,0.004,0.108,1,,,,0.0057,0.3196,0.6847,,0.5866,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,32
"Randolph Police","5 - Hispanic",Randolph," Hispanic",2017-18,police,Randolph,FALSE,11,882,0,0,0,8,855,485,0.01300000000,0.012,0.959,1,,,,0.0035,0.2456,0.7626,,0.5673,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Orange County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Richmond Police","1 - White",Richmond," White",2015-18,police,Richmond,TRUE,5396,5591,51,2975,2476,3331,5396,3331,0.94700000000,0.965,1.019,1,0.0095,0.5513,0.4589,0.0095,0.5513,0.4589,0.6173,0.6173,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Chittenden County",56,40,37,10,0.010,0.714,0.661,0.179,379
"Richmond Police","2 - Black",Richmond," Black",2016-18,police,Richmond,TRUE,72,5435,1,40,34,55,5244,3237,0.01800000000,0.013,0.736,1,0.0139,0.5556,0.4722,0.0097,0.5383,0.4722,0.7639,0.6173,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Chittenden County",5,3,3,0,0.069,0.600,0.600,0.000,0
"Richmond Police","3 - Asian",Richmond," Asian",2015-18,police,Richmond,TRUE,65,5591,0,40,25,39,5396,3331,0.02800000000,0.012,0.415,1,0.0000,0.6154,0.3846,0.0095,0.5513,0.4589,0.6000,0.6173,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Richmond Police","5 - Hispanic",Richmond," Hispanic",2016-18,police,Richmond,TRUE,47,5435,1,31,16,34,5244,3237,0.00600000000,0.009,1.441,1,0.0213,0.6596,0.3404,0.0097,0.5383,0.4722,0.7234,0.6173,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Chittenden County",0,0,0,0,0.000,0.000,0.000,0.000,0
"Royalton Police","1 - White",Royalton," White",2015-18,police,Royalton,TRUE,572,599,2,288,286,326,572,326,0.98000000000,0.955,0.974,1,0.0035,0.5035,0.5000,0.0035,0.5035,0.5000,0.5699,0.5699,0.0,0.0,0.0,,#58ACFA,Unused,Unused,"Windsor County",5,4,4,1,0.009,0.800,0.800,0.200,2228
"Royalton Police","2 - Black",Royalton," Black",2015-18,police,Royalton,FALSE,16,599,0,0,0,6,572,326,0.02000000000,0.027,1.336,1,,,,0.0035,0.5035,0.5000,,0.5699,0.0,0.0,0.0,,#58FAAC,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,20
"Royalton Police","3 - Asian",Royalton," Asian",2015-18,police,Royalton,FALSE,6,599,0,0,0,1,572,326,NULL,0.010,NULL,1,,,,0.0035,0.5035,0.5000,,0.5699,0.0,0.0,0.0,,#9F81F7,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,5
"Royalton Police","5 - Hispanic",Royalton," Hispanic",2015-17,police,Royalton,FALSE,5,545,0,0,0,3,520,292,NULL,0.009,NULL,1,,,,0.0038,0.5135,0.4923,,0.5615,0.0,0.0,0.0,,#F7D358,Unused,Unused,"Windsor County",0,0,0,0,0.000,0.000,0.000,0.000,0
